Transaction ID,Date,Contractor Name,Department,Project Type,Region,Amount,Discount,Quantity,Total
GOV30425,03/15/22,Contractor_064,Defense,Hospital Project,East,4187587.55,162888.08,4,16098797.88
GOV30050,2024-02-27,Contractor_032,Transport,Hospital Project,North,1472891.47,0,8,11783131.79
GOV30255,08 May 2022,Contractor_055, Health,  Water Supply  ,North,755250.51,11768.41,3,2230446.3
GOV30602,"May 07, 2024",Contractor_055,Infrastructure,,,279401.9,,1,279401.9
GOV30500,"October 30, 2022",Contractor_039,Health,Hospital Project,West,7805238.03,0,12,93662856.39
GOV30208,2022-11-15,Contractor_037,Energy,Road Construction,South,4148322.67,,6,24429147.75
GOV30216,2022/05/13,Contractor_098,Transport,Public Transport,East,218135.77,1798.86,4,865347.65
GOV30329,2022/01/30,Contractor_072,Education,Water Supply,North,642125.9,0,7,-
GOV30572,02/15/2022,Contractor_030,Transport,,North,376720.99,0,3,1130162.96
GOV30250,29 Nov 2022,contractor_034,Health,Road Construction,East,2412886.8,0,2.0,4825773.59
GOV30353,21 Dec 2022,Contractor_100,Transport,water supply,West,585343.22,1495.61,,2335390.44
GOV30139,11/15/22,Contractor_074,Energy,water supply,West,294655.64,,8,2357245.11
GOV30366,12/23/2023,Contractor_092,Agriculture,Road Construction,East,4980043.79,8392.35,6,29829908.6
GOV30519,2023-09-22,Contractor_038,Education,Water Supply,East,436622.63,0,5,2183113.17
GOV30076,10/31/2024,Contractor_065,Education,Rural Electrification,North,947118.77,0,9,8524068.91
GOV30295,"February 01, 2022",Contractor_046,Transport,School Building,North,315125.48,14279.93,8,2406764.4
GOV30494,11/15/2023,Contractor_044,Energy,Rural Electrification, West,2704732.6,0,11,29752058.62
GOV30299,08/20/2024,Contractor_068,Energy,Hospital Project,Central,9544135.49,744993.36,-8,70393137.03
GOV30587,"March 03, 2022",Contractor_095,Energy,  Road Construction  ,South,262902.68,2642.82,7,1821819.0
GOV30509,"March 19, 2022",,Health,Public Transport,SOUTH,624122.42,24186.2,5,2999681.13
GOV30515,2023-12-01,Contractor_014,Transport,Hospital Project,  South  ,8004070.62,0,4,32016282.49
GOV30626,22 Feb 2022,  Contractor_008  ,Energy,Road Construction,Central,446127.62,0,10,4461276.15
GOV30351,"July 11, 2023",Contractor_032,Defense,Hospital Project,West,2945410.89,0,9,"$26,508,698.04"
GOV30238,03/12/2024,Contractor_051,,Rural Electrification,East,2691615.13,0,6,16149690.76
GOV30456,27 Sep 2022,Contractor_021,Transport,Water Supply,  Central  ,452886.81,0,12,5434641.68
GOV30678,2024-12-09,  Contractor_053  ,Education,Hospital Project,South,5617963.11,223770.82,8,43153538.35
GOV30691,2024-04-19,Contractor_036,Energy,school building,East,601497.77,33547.72,7,3975650.29
GOV30275,"January 02, 2023",Contractor_084,Agriculture,  Rural Electrification  ,South,2198274.93,146987.72,1,2051287.21
GOV30317,2022/03/05,Contractor_005,  Health  ,Hospital Project,South,5653611.36,0,8,45228890.89
GOV30555,2024-11-30,Contractor_014,Defense,Road Construction,East,3099193.59,$0.00,12,37190323.09
GOV30601,06/04/24,Contractor_011,Defense,,West,4816849.47,86761.29,3,14190264.55
GOV30523,02/05/22,Contractor_024,Transport,School Building,West,537197.47,0,2,1074394.94
GOV30697,2024/12/01,Contractor_031,Infrastructure,School Building,South,1372788.94,0,9,12355100.46
GOV30528,2023/01/08, Contractor_099,Defense,Public Transport,East, 438279.7695022358 ,0,-7,3067958.39
GOV30406,N/A,Contractor_079,Infrastructure,School Building,East,398478.89,0,6,2390873.31
GOV30077,12/11/2023,Contractor_066,Education,Road Construction,west,1268154.86,0,6,7608929.14
GOV30108,"October 01, 2023",Contractor_007,Transport,Rural Electrification,West,2331514,0,12,27978173.83
GOV30565,08/21/2024,Contractor_022,Health,Road Construction,None,3185827.77,239556.99,4,11785083.12
GOV30098,2022/05/19,Contractor_075,Defense,  Rural Electrification  ,West,126811.78,$0.00,9,1141305.99
GOV30658,2022-03-10,Contractor_005,Agriculture,Rural Electrification,North,392833.68,28197.15,7,2552455.73
GOV30534,2023-06-01,,,Rural Electrification,Central,378723.12,0,unknown,3029784.99
GOV30692,"February 29, 2024",Contractor_096,Health,Rural Electrification,North,1459602.99,0,11,16055632.94
GOV30083,0000-00-00,Contractor_085,Defense,Road Construction,South,2327003.13,,12,27632216.41
GOV30479,"December 01, 2022",Contractor_091,Energy,School Building,Central,157204.91,0,5,786024.55
GOV30170,"May 20, 2022",Contractor_098,Transport,Rural Electrification,North,2855739.72,0,11,31413136.92
GOV30515,2023-12-01,Contractor_014,Transport,Hospital Project,  South  ,8004070.62,0,4,32016282.49
GOV30591,2024-07-27,Contractor_086,Energy,  Water Supply  ,East,,0,3,736641.91
GOV30576,26-10-2022,Contractor_042,Energy,Water Supply,West,73710.86,0,7,515976.04
GOV30210,"December 18, 2023",Contractor_046,Education,Public Transport,East,667544.09,0,8,5340352.7
GOV30396,10-04-2024,Contractor_078,Transport,Hospital Project,South,668751.83,11499.23,3,1971757.8
GOV30362,02 Oct 2024,Contractor_039,Energy,Road Construction,North,525626.03,0,7,3679382.19
GOV30566,12/05/2022,  Contractor_035  ,null,Road Construction,South,1368393.02,90113.73,3,3834837.88
GOV30394,06/01/2024,Contractor_058,Agriculture,School Building,North,965011.69,60375.11,12,10855638.97
GOV30032,2023/10/10,Contractor_016,  Energy  ,Public Transport,East,889285.67,0,1,unknown
GOV30183,21-04-2022,  Contractor_087  ,  Health  ,Public Transport,North,639289.14,25546.58,2,1227485.13
GOV30539,"October 02, 2022",Contractor_085,Transport,Rural Electrification,South,272576.46,1068.49,3,814523.91
GOV30377,02/04/23,Contractor_073,Transport,School Building,east,1430700.77,93596.68,10,13371040.96
GOV30401,24-01-2022,Contractor_080,Defense,Road Construction,East,1744316.6,0,N/A,15698849.43
GOV30556,06/13/2023,Contractor_088,Transport,Road Construction,Central,4337038.38,225905.4,3,12333398.95
GOV30298,08/27/24,Contractor_097,Education,Hospital Project,East,,0,6,56226184.8
GOV30030,09/05/2023,Contractor_081,Defense,hospital project,  East  ,2083655.42,-169578.0658869815,9,17226696.14
GOV30387,2022-01-20,Contractor_093,Energy,Road Construction,North,,251288.64,8,22911618.35
GOV30544,,Contractor_074,Defense,Hospital Project,Central,5592324.14,270986.89,,26606686.23
GOV30511,"August 22, 2024",Contractor_069,energy,ROAD CONSTRUCTION,North,2322701.79,0,9,20904316.08
GOV30226,22-12-2023,Contractor_017,Energy,Road Construction,West,4322289.04,0,1,"$4,322,289.04"
GOV30629,"January 10, 2024",Contractor_046,Defense,Hospital Project,South,null,586003.8,,21853539.5
GOV30520,03 Oct 2024,Contractor_062,Education,Hospital Project,North,2137747.55,-,9,19239727.97
GOV30557,05 Jul 2022,Contractor_068,Transport,Rural Electrification,East,"$1,788,678.63",0,2.0,3577357.25
GOV30245,11/16/2022,,DEFENSE,School Building,Central,539095.28,0,1,N/A
GOV30538,12/07/2022,Contractor_091,Defense,Rural Electrification,North,"$281,311.40",21717.16,12,3115130.94
GOV30633,07/13/24,Contractor_026,Transport,Rural Electrification,West,2162611.88,121109.2,1,2041502.69
GOV30570,2024/08/19,Contractor_013,Education,Water Supply,  Central  ,206481.18,0,1,206481.18
GOV30583,07 Oct 2022,Contractor_018,Transport,,South,-620769.6337595832,23174.46,11,6573546.88
GOV30117,08/28/2023,Contractor_007,Energy,School Building,South,1975018.52,27698.91,10,19473196.14
GOV30026,07/20/2024,Contractor_075,Health,Rural Electrification, East,994170.91,"$38,804.39",5,4776832.59
GOV30699,17 Apr 2024,Contractor_003,,Road Construction,North,972757.83,0,1,972757.83
GOV30278,04/17/23,Contractor_064,,Water Supply,West,180338.08,,5,901690.38
GOV30120,03/09/23,Contractor_063,Infrastructure,Public Transport,East,230246.84,0,2,"$460,493.68"
GOV30611,"December 01, 2024",contractor_046,Defense,Road Construction,West,3006532.46,185142.29,8,22571121.43
GOV30058,18 May 2022,Contractor_091,Health,Hospital Project,East,9541136.22,367084.33,6,55044311.33
GOV30631,2023/12/25,Contractor_089,Health,Public Transport,East,-288377.544208855,0,2,576755.09
GOV30053,2022-08-16, Contractor_007,Agriculture,Rural Electrification,South,null,14610.0,5,2033937.86
GOV30536,2022-03-31,,Agriculture,School Building,North,1145259.12,0,,3435777.36
GOV30134,0000-00-00,Contractor_048,Education,Hospital Project,  North  ,521532.14,4023.66,N/A,2587542.41
GOV30415,"November 08, 2022",  Contractor_019  ,Education,Hospital Project,,1205265.48,114689.75,9,9815181.56
GOV30168,08/08/23,Contractor_043,Energy,Rural Electrification,Central,2632226.1,0,12,31586713.15
GOV30172,25-12-2023,Contractor_099,Agriculture,Public Transport,CENTRAL,359316.93,32972.0,7,2284414.54
GOV30598,28-01-2023,Contractor_091,Infrastructure,Rural Electrification,South,2604330.32,0,6,15625981.95
GOV30062,2023/10/25,Contractor_023,Health,School Building,South,1623593.87,0,5,8117969.35
GOV30127,2024/07/09,,Agriculture,Public Transport,North,512504.13,0,12,6150049.53
GOV30177,2023-10-23,Contractor_027,Infrastructure,Public Transport,West,1197562.97,0,9,10778066.71
GOV30187,"May 19, 2022",Contractor_035,Energy,  Road Construction  ,Central,1830545.34,88756,3,5225369.01
GOV30327,11/21/22,Contractor_023,Agriculture,Hospital Project,West,2450365.6,233000.73,3,"$6,652,094.62"
GOV30074,24-03-2023,Contractor_082,Energy,Public Transport,South,1022909.86,0,4,4091639.43
GOV30312,05/24/23,Contractor_008,Education,Road Construction,North,2855555.22,0,4,"$11,422,220.87"
GOV30060,31 Mar 2022,Contractor_079,Education,Public Transport,East,572242.85,3533.01,5,"$2,843,549.16"
GOV30008,17-05-2022,,Agriculture,School Building,North,-560495.229408208,46469.26,11,5654285.64
GOV30379,10 Jan 2024,Contractor_043,Education,  Water Supply  ,West,684764.94,"$37,666.42",8,5176788.17
GOV30252,07/02/22,Contractor_004,Education,  ,South,3265169.04,0,7,22856183.29
GOV30434,11/27/2023,Contractor_037,Transport,Rural Electrification,South,2939330.78,0,4,11757323.1
GOV30383,2023-02-03,Contractor_010,Health,School Building,South,-440073.3027675911,40172.28,10,3999010.24
GOV30461,13 May 2022,Contractor_074,  ,School Building,North,1987457.75,0,8,15899662.0
GOV30503,05/09/2024,Contractor_086,Energy,Public Transport,South,1062393.12,0,5,5311965.6
GOV30354,07/21/2022,Contractor_081,Education,Road Construction,South, 1701487.1317391917 ,0,9,15313384.19
GOV30490,10 Jul 2022,Contractor_023,Transport,Hospital Project,Central,7104313.24,0,9,63938819.2
GOV30161,2022/06/19,Contractor_023,Education, Water Supply,South,359761.04,0,7,2518327.28
GOV30450,2022-09-12,Contractor_014,Health,Water Supply,,578282.66,46734.98,9,4783929.1
GOV30324,08/25/2024,Contractor_086,Agriculture,Water Supply,West, 437202.307140015 ,,7,3060416.15
GOV30283,2023-07-29,Contractor_073,infrastructure,Hospital Project,West,9270787.18,0,8,74166297.47
GOV30228,04/18/2024,Contractor_058,Energy,School Building,Central,872748.31,0,4,3490993.24
GOV30194,"August 25, 2022",,,Water Supply,,211001.54,0,6,1266009.25
GOV30550,07/24/2024,Contractor_028,Transport,School Building,South,470035.94,15538.59,8,3635978.79
GOV30482,16-11-2023,Contractor_059,Education,Hospital Project,North,7400252.41,0,2,-14800504.817520598
GOV30522,09/25/24,Contractor_020,Agriculture,Public Transport,East,976261.71,0,1,976261.71
GOV30316,12/09/24,Contractor_043,Energy,Public Transport,North,1041719.42,0,7,7292035.97
GOV30518,05/28/2024, Contractor_048,Health,Road Construction,South,2845100.53,"$256,154.42",8,
GOV30487,2023/05/24,Contractor_033,Energy,road construction,North,3899773.85,null,5,19498869.26
GOV30613,2023/09/12,Contractor_053,Health,Road Construction,Central,888397.55,34516.57,3,2561642.92
GOV30087,13-10-2024,Contractor_032,Transport,Hospital Project,North,4228638.68,388133.84,4,15362019.33
GOV30459,2022/04/29,Contractor_072,Transport,School Building,CENTRAL,1243300.92,67604.02,10,11756968.97
GOV30284,10-03-2022,Contractor_095,Infrastructure,Road Construction,  Central  ,404193.85,35857.14,2,736673.42
GOV30046,26-05-2024,Contractor_021,Agriculture,Water Supply,Central,479411.02,$0.00,-10,4794110.21
GOV30453,06 Nov 2024,N/A,Health,Rural Electrification,South,1635593.65,8679.23,5,8134572.1
GOV30027,2023/04/08,Contractor_031,Infrastructure,Water Supply,North,336103.72,0,8,"$2,688,829.73"
GOV30073,31 May 2022,Contractor_032,Transport,Water Supply,,527726.68,0,8,4221813.48
GOV30229,"August 26, 2023",Contractor_088,Agriculture,Hospital Project,South,7742004.82,0,11,85162053.02
GOV30660,2022/05/09,Contractor_008, Energy,Public Transport,Central,1163678.96,90937.9,9,9654669.6
GOV30417,04 Jan 2022,Contractor_071,Transport,Hospital Project,North,2097057,111342.3,10,19857148.9
GOV30072,12 May 2022,CONTRACTOR_014,Education,  Water Supply  ,West,TBD,51520.28,6,4334489.46
GOV30543,16-07-2022,Contractor_043,AGRICULTURE,  Road Construction  ,Central,976156.27,58563.44,10,9175928.24
GOV30395,2023/02/03,Contractor_098,Education,Hospital Project,  North  ,5137205.93,0,1,5137205.93
GOV30319,12/13/2022,Contractor_040,Health,Hospital Project,East,4072227.8,0,1,4072227.8
GOV30199,03-05-2022,,Health,school building,South,1487895.65,0,11,16366852.18
GOV30499,03/19/2022,Contractor_098,Energy,School Building,South,128675.7,11110.84,,470259.46
GOV30495,03-11-2024,Contractor_092,Health,Road Construction,East,2507705.49,0,4.0,10030821.96
GOV30001,09/26/2023,Contractor_067,Education,Rural Electrification,North,994962.27,0,11,10944585.0
GOV30592,03 Jan 2024,Contractor_015,Health,Rural Electrification,North,,0,7,-7124897.385311162
GOV30305,,Contractor_014,Agriculture,Public Transport,North,327852.92,0,5,1639265
GOV30393,11/13/2024,Contractor_003,Transport,Water Supply,West,665369.87,0,10,6653698.67
GOV30418,0000-00-00,,Energy,Public Transport,Central,327676.17,31460.14,7,2073512.15
GOV30271,09/16/2023,Contractor_075,Infrastructure,,Central,2282566.21,0,1,2282566.21
GOV30662,,Contractor_022,Education,,West,355321.84,25265.58,1,330056.26
GOV30233,13-07-2022,Contractor_063,TRANSPORT,School Building,,236729.14,9017.4,4,910846.97
GOV30548,2022/11/23,Contractor_037,Defense,Water Supply,North,59481.53,0,12,713778.39
GOV30549,invalid,Contractor_054,Energy,Road Construction,North,4726375.01,45565.24,1,4680809.77
GOV30040,03/04/23,Contractor_057,Defense,Water Supply,North,392731.15,18958.85,11, 4111495.279436422 
GOV30412,2022/06/04,Contractor_023,Energy,Public Transport,Central,1458950.6,49216.91,3,4229201.06
GOV30594,13-05-2024,Contractor_002,Energy,Rural Electrification,East,-659143.4066251629,0,2,1318286.81
GOV30192,05/24/24,Contractor_025,Transport,Hospital Project,East,2909567.82,127201.31,4,11129466.06
GOV30446,02/03/24,Contractor_064,Health,Public Transport,South,513367.79,6861.53,11,5571568.83
GOV30311,2023-07-31,Contractor_096,  Education  ,Rural Electrification,,,$0.00,6,7162488.66
GOV30502,11/27/2024,Contractor_002,Infrastructure,Water Supply,East,160485.82,14078.19,4,585630.5
GOV30003,08/15/2024,Contractor_025,Energy,Public Transport,West, 940148.6539131278 ,0,12,11281783.85
GOV30447,"June 11, 2022",Contractor_086,Health,School Building,North,1930250.59,0,1,
GOV30133,"January 25, 2024",Contractor_052,Infrastructure, Hospital Project,Central,2537793.09,0,2,5075586.18
GOV30359,16 May 2024,Contractor_065,Education,Rural Electrification,  North  ,1621737.63,0,11,17839113.97
GOV30256,03-05-2023,Contractor_089,Health,Rural Electrification,West,2445951.77,24822.74,6,14526774
GOV30066,"September 15, 2023",Contractor_062,Transport,Hospital Project,West,5801408,0,10,58014083.06
GOV30041,30-04-2023,Contractor_056, Transport,Road Construction,Central,3870809.7,0,10,
GOV30558,16 Mar 2022,Contractor_004,Education, Public Transport,,531655.41,38853.09,8,-3942418.522584636
GOV30196,"December 18, 2023",Contractor_058,Agriculture,Water Supply,East,359952.95,0,11,3959482.45
GOV30648,02/06/2023,Contractor_014,infrastructure,Hospital Project,East,2506623.51,0,6,-15039741.04900854
GOV30426,28-02-2023,contractor_004,Defense,School Building,East,N/A,0,4,5643195.05
GOV30610,2022/07/02,contractor_001,Education,Road Construction,North,2318059.45,11332.0,1,2306727.45
GOV30407,04-06-2024,Contractor_056,Infrastructure,School Building,,282406.58,0,12,3388878.97
GOV30343,29-08-2022,Contractor_005,Agriculture,public transport,East,1456053.1,0,6,8736318.59
GOV30386,03 Jul 2022,Contractor_069,Education,Rural Electrification,central,552559.04,0,1,552559.04
GOV30248,06/20/24,CONTRACTOR_037,Health,School Building,North,660220.27,0,6,3961321.64
GOV30011,2024-07-15,Contractor_018,Agriculture,Rural Electrification,  East  ,434279.88,20737.33,1,413542.55
GOV30514,0000-00-00,,Education,School Building,East,147128.54,9390.48,3,413214.2
GOV30232,11/19/2022, Contractor_055,Infrastructure,Rural Electrification,South,145600.09,0,9,1310400.79
GOV30116,2024/06/21,Contractor_051,Infrastructure,Road Construction,Central,2569604.77,,6,14091600.5
GOV30124,05/31/24,Contractor_072,Agriculture,Public Transport,North,546625.02,0,3,1639875.07
GOV30632,05/05/2022,Contractor_079,Transport,Public Transport,North,420887.73,0,3,1262663.18
GOV30164,04/13/22,Contractor_055,Energy,Rural Electrification,South,1350432.58,0,8,"$10,803,460.68"
GOV30006,0000-00-00,Contractor_075,Health,Public Transport,South,414176.16,0,9,3727585.48
GOV30623,2022/03/12,Contractor_042,Energy,Road Construction,West,2244253.41,0,6,13465520.45
GOV30220,09/18/22,Contractor_052,Defense,Water Supply,South,200674.65,0,4,802698.59
GOV30474,"August 25, 2022",Contractor_060,Agriculture,Public Transport,East,916125.58,0,7,6412879.05
GOV30221,,Contractor_081,Agriculture,Public Transport,West,909792.28,0,6,5458753.7
GOV30042,2024-03-15,Contractor_063,Infrastructure,RURAL ELECTRIFICATION,North,-1315516.991267273,47636.51,8,10143043.87
GOV30650,2022-02-25,Contractor_054,infrastructure,RURAL ELECTRIFICATION,South,977624.18,0,1,977624.18
GOV30435,25-01-2024,Contractor_002,,Water Supply,Central,751376.44,0,5,3756882.21
GOV30625,2023-12-02,Contractor_057,Energy,Public Transport,West,"$301,895.44",21416.68,4,1121915.04
GOV30355,08/16/22,Contractor_070,Education,  -  ,West,,305426.93,5,23795369.34
GOV30575,,Contractor_051,Education, Hospital Project,South,533023.11,10896.6,8,4177012.09
GOV30645,2023-11-30,Contractor_056,Defense,School Building,Central,606076.84,0,11,6666845
GOV30115,06-12-2022,Contractor_097,Education,Hospital Project,South,2926943.04,0,10,29269430.41
GOV30403,2022-03-19, Contractor_002,Transport,Hospital Project,East,8706527.87,0,6,52239167.23
GOV30057,"January 06, 2023",Contractor_034,Transport,Hospital Project,Central,5318849.1,0,2,10637698.2
GOV30548,2022/11/23,Contractor_037,Defense,Water Supply,North,59481.53,0,12,713778.39
GOV30265,2024-05-28,Contractor_055,Defense,Road Construction,EAST,4131591.84,0,9,37184326.54
GOV30112,"October 03, 2024",Contractor_070,Defense,School Building,South,1812896.85,$0.00,7,12690277.95
GOV30103,03/13/2024,Contractor_045,Agriculture,Public Transport,Central,396546.71,20730.45,1,375816.26
GOV30498,TBD,Contractor_033,Infrastructure,Hospital Project,south,3078920.29,0,9,27710282.57
GOV30174,2024-06-30,Contractor_081,Energy,,,1522961.22,0,10,15229612.25
GOV30215,2024-11-02,Contractor_087,Energy,Rural Electrification,West,2389935.55,0,7,16729548.86
GOV30641,07 Sep 2023,Contractor_052,Transport,  School Building  ,Central,1649165.82,0,3,4947497.47
GOV30128,06 Mar 2022,Contractor_026,,Water Supply,West,757730.19,0,2,1515460.38
GOV30165,12/22/22,Contractor_003,Energy,Road Construction,West,2778955.94,0,12,33347471.28
GOV30155,"July 02, 2023",Contractor_066,Transport,Hospital Project,East,5876829.17,0,3,17630487.51
GOV30472,02/07/24,Contractor_077,AGRICULTURE,ROAD CONSTRUCTION,South,2230500.97,91124.58,3,6418129.17
GOV30055,01-09-2023,Contractor_065,education,Water Supply,West,363212.78,0,11,3995340.57
GOV30101,05 Aug 2024,Contractor_033,Energy,School Building,South,,100693.24,7,9508059.15
GOV30524,06/23/2023,Contractor_036,Education,Rural Electrification,  Central  ,1651925.04,0,11,18171175.41
GOV30553,14-03-2022,Contractor_086,Education,Water Supply,West,24721.34, 2204.587512239874 ,-12, 270200.9865504004 
GOV30527,25 Sep 2022,Contractor_099,Agriculture,Water Supply,West,,0,6,4359046.1
GOV30483,03/05/2022,Contractor_041,Agriculture,hospital project,North,4127383.0,0,9,
GOV30145,2024/02/14,Contractor_057,Transport,Rural Electrification,West,192864.42,0,3,578593.27
GOV30091,12/29/24,Contractor_037,Energy,,North,658603.68,14779.74,8,5150591.49
GOV30381,2024-08-08,,Infrastructure,Rural Electrification,South,2336224.0,83994.1,11,24774528.91
GOV30219,08/26/23,contractor_078,Education,Rural Electrification,North,2741988.44,0,4,10967953.78
GOV30044,0000-00-00,Contractor_093,Energy,Water Supply,East,622848.33,47808.43,6,3450239.38
GOV30574,2024/09/26,Contractor_049,Transport,Rural Electrification,Central,913965.5,67578.37,5,"$4,231,935.64"
GOV30330,"December 22, 2023",Contractor_014,Defense,Water Supply,North,580250.5,0,6,3481503.0
GOV30340,2022/10/25,Contractor_100,Agriculture,Rural Electrification,West,1850751.23,0,TBD,5552253.69
GOV30289,29-11-2022,Contractor_040,Infrastructure,School Building,East,1431118.3,0,7,10017828.09
GOV30615,04/20/23,Contractor_099,Infrastructure,School Building,Central,1490643.97,126443.8,11,15006201.88
GOV30129,10/05/23,Contractor_080,N/A,Public Transport,Central,108653.53,8994.47,11,1096249.71
GOV30352,invalid,Contractor_055,Defense,Road Construction,Central,1121929.33,75495.52,12,
GOV30489,12/13/2022,CONTRACTOR_025, Health,Rural Electrification,East,-1336317.4087932329,0,1,1336317.41
GOV30294,2024/03/30,Contractor_008,Infrastructure,Rural Electrification,East,1757784.46,0,8,14062275.72
GOV30214,2023-09-09,Contractor_083, Education,Public Transport,West,1009254.85,0,5,5046274.23
GOV30286,2022/10/18,Contractor_037,Education,Hospital Project,North,2118762.81,0,9,19068865.25
GOV30346,"November 02, 2024",Contractor_054,Education,,South,297021.33,0,8,2376170.64
GOV30061,invalid,Contractor_064,Energy,Unknown,North,519614.15,0,12,6235369.83
GOV30537,2024/03/24,Contractor_068,Energy,Road Construction,  South  ,1694289.93,33863.38,3,"$4,981,279.64"
GOV30512,02/13/2022,Contractor_094,Energy,Public Transport,Central,550079.99,0,6,3300479.96
GOV30156,04 May 2024,Contractor_046,transport,School Building,East,525774.67,0,12,
GOV30477,12/15/2024,Contractor_057,Energy,school building,North,209062.22,0,6,1254373.32
GOV30263,02/20/2024,Contractor_095,Energy,Public Transport,Central,214685.96,0,-1,214685.96
GOV30668,02/17/2024,Contractor_093,Infrastructure,Water Supply,East,422241.36,,2,"$844,482.72"
GOV30680,"June 16, 2024",Contractor_059,Infrastructure,Hospital Project,North,3134214.01,"$240,777.37",6,17360619.79
GOV30043,"December 09, 2023",  Contractor_038  ,Health,Public Transport,South,485711.39,0,3,1457134.18
GOV30669,"September 06, 2024",Contractor_087,Infrastructure,Water Supply, Central,-255846.62072072682,0,5,1279233.1
GOV30261,"March 25, 2024",Contractor_074,Health,Water Supply,East,,0,9,310159.5
GOV30137,10/23/2023,Contractor_076,Education,Public Transport,North,425610.33,0,1,425610.33
GOV30408,2023-08-23,Contractor_061,Agriculture,Public Transport,East,822946.52,0,9,7406518.64
GOV30034,2024-05-01,Contractor_055,Energy,hospital project,North,2453086.95,12591.43,2,4880991.05
GOV30514,0000-00-00,,Education,School Building,East,147128.54,9390.48,3,413214.2
GOV30145,2024/02/14,Contractor_057,Transport,Rural Electrification,West,192864.42,0,3,578593.27
GOV30639,2023-11-14,CONTRACTOR_057,Agriculture,Hospital Project,North,5419993.71,0,2,10839987.41
GOV30497,07/19/2024,Contractor_082,Health,,North,523771.24,49643.54,6,2844766.21
GOV30694,2023/07/04,Contractor_042,Transport,School Building,East,551561,0,5,2757804.03
GOV30078,"June 24, 2023",Contractor_100,Energy,Public Transport,East,1236738.98,0,10,"$12,367,389.81"
GOV30667,"November 14, 2022",Contractor_010,Defense,Public Transport,North,1031396.43,0,-,11345360.71
GOV30171,18 Nov 2023,Contractor_057,Energy,Hospital Project,North,9792349.06,574025.84,2,-18436646.444672678
GOV30688,04/03/22,Contractor_059,Education,School Building,Central,441040.91,0,5,2205204.55
GOV30249,07-09-2022,Contractor_068,Agriculture,Rural Electrification,Central,2556416.1,126589.62,6,14578958.87
GOV30217,TBD,Contractor_028,Energy,Public Transport,Central,431854.29,0,12,5182251.44
GOV30267,2023-12-03,Contractor_085, Agriculture,Public Transport,East,801622.63,6185.57,10,7954370.62
GOV30368,26 Jul 2024,Contractor_036,Transport,Public Transport,South,429458.72,0,10,4294587.18
GOV30656,04/03/2022,,Defense,Rural Electrification,  South  ,2502477.12,81870.27,4,9682427.41
GOV30457,2024-09-23,  Contractor_053  ,Education,Rural Electrification,West,1651293.76,,2,3302587.52
GOV30268,"October 09, 2024",Contractor_091,Defense,Rural Electrification,West,1155994.59,79969.02,11,11836281.28
GOV30405,09/04/24,Contractor_078,Infrastructure,Rural Electrification,North,1937407.36,0,11,21311481.0
GOV30201,"February 11, 2022",Contractor_051,Education,School Building,North,1765886.52,0,6,10595319.11
GOV30236,2024-12-08,Contractor_005,Agriculture,Water Supply,West,740118.87,0,12,8881426.5
GOV30390,26-01-2022,Contractor_027,Transport,Hospital Project,North,2592862.77,$0.00,4,10371451.07
GOV30067,01/11/2023,Contractor_098,Agriculture,Water Supply,South,509040.09,0,7,3563280.61
GOV30080,2024/01/17,Contractor_076,Defense,School Building,Central,1897570,107519.53,unknown, 21480610.334990047 
GOV30451,2024/05/05,Contractor_040,  Education  ,SCHOOL BUILDING,West,1492673.07,0,6,8956038.43
GOV30659,10/29/2023,Contractor_041,Education,Rural Electrification,East,2783199.86,3327.57,10,27798722.83
GOV30675,11/22/24,Contractor_002, Health,Rural Electrification,South,274083.41,0,6,1644500.44
GOV30302,03/08/2024,Contractor_088,,Water Supply,West,102813.32,10223.33,unknown,185179.98
GOV30207,19-02-2022,Contractor_011,None,Rural Electrification,North,729082.85,0,1,729082.85
GOV30671,02/18/24,Contractor_022,Energy,Hospital Project,West,646466.61,0,5,3232333.03
GOV30326,09/16/24,Contractor_006, Defense,HOSPITAL PROJECT,South,3944601.14,172863.71,11,41489111.72
GOV30638,05/24/2022,Contractor_100,Health, Rural Electrification,East,1557990.5,0,10,15579904.99
GOV30646,2022-03-25,Contractor_048,Transport,Road Construction,East,1116876.1,17716.5,10,10991596.02
GOV30331,04/22/2022,Contractor_100,Transport,Hospital Project,South,5646031.84,224506.74,4,21686100.4
GOV30615,04/20/23,Contractor_099,Infrastructure,School Building,Central,1490643.97,126443.8,11,15006201.88
GOV30322,"February 08, 2022",  Contractor_069  ,Health,  School Building  ,North,1285849.26,0,12,15430191.08
GOV30306,02-05-2022,Contractor_078,Defense,School Building,East,152239.76,0,10,1522397.55
GOV30025,27 Nov 2023,Contractor_061,,School Building,Unknown,1276858.4,0,4,5107433.59
GOV30568,"January 02, 2022",Contractor_087,Health,Road Construction,,2331204.61,0,7,16318432.28
GOV30486,04/19/2024,Contractor_039,Agriculture,Rural Electrification,Central,446202.19,0,3,1338606.58
GOV30173,,Contractor_013,Education,School Building,West,138618.02,8075.8,2,261084.44
GOV30607,2022-07-11,Contractor_099,Defense,,North,354471.17,0,8,2835769.35
GOV30211,02-01-2023,Contractor_089,Energy,Water Supply,Central,,0,1,395484.85
GOV30519,2023-09-22,Contractor_038,Education,Water Supply,East,436622.63,0,5,2183113.17
